frame,image,acq_us,submit_us,present_us
1218,2,13749,103,68
1219,3,17527,134,64
1220,0,15240,132,69
1221,1,17041,125,65
1222,2,15816,119,71
1223,3,18335,129,69
1224,0,17224,115,69
1225,1,16708,128,65
1226,2,13167,131,106
1227,3,18272,146,96
1228,0,15171,1126,75
1229,1,16719,110,62
1230,2,13802,101,68
1231,3,18358,140,66
1232,0,13882,123,63
1233,1,18499,118,59
1234,2,15784,117,69
1235,3,16478,98,63
1236,0,13500,107,61
1237,1,18865,96,62
1238,2,14091,102,80
1239,3,51205,110,60
1240,0,14599,102,60
1241,1,24710,138,85
1242,2,8081,104,58
1243,3,19094,133,82
1244,0,16178,191,135
